,node,cCRE,fisher_stat,pval
16637,1427_n1332,PLS,inf,0.031015859961787993
4759,414_n1110,CA-TF,inf,2.8726889695716347e-05
4723,378_n2712,CA-TF,inf,0.0009499349315016071
6056,1711_n1563,CA-TF,inf,0.031015859961787993
4691,346_n3,CA-TF,inf,0.0038362715884915784
16260,1050_n1858,PLS,inf,1.4247610615214158e-05
5733,1388_n334,CA-TF,inf,0.031015859961787993
15736,526_n1831,PLS,67.68073433213758,7.099766277348886e-99
15550,340_n739,PLS,58.407407407407405,3.338019202175006e-55
15412,202_n1018,PLS,50.40071266601879,9.639629419977954e-93
4457,112_n2570,CA-TF,35.161490683229815,1.6010981104692842e-09
11988,1124_n316,TF,23.517911975435005,2.6503862244795224e-06
4464,119_n2892,CA-TF,22.47239263803681,5.14339243968078e-06
15742,532_n943,PLS,21.19704433497537,3.305197652988791e-32
16867,1657_n1662,PLS,18.59943681802182,4.3275368890484915e-13
13387,350_n840,CA-H3K4me3,14.903192584963955,3.869722483889132e-07
4675,330_n472,CA-TF,14.184584178498985,0.0009385896937544996
3061,889_n851,CA-CTCF,13.18851570964247,2.5869147796785286e-32
13693,656_n1476,CA-H3K4me3,12.554621848739496,8.025241111438619e-11
15507,297_n1115,PLS,12.133603238866396,0.003323491788793139
5895,1550_n818,CA-TF,12.133603238866396,0.003323491788793139
11087,223_n291,TF,11.290334435869166,1.5829064688191585e-19
5255,910_n2385,CA-TF,11.111223458038422,0.0062034715059197465
10953,89_n118,TF,10.703779366700715,6.0521743984095195e-05
14950,1913_n2228,CA-H3K4me3,10.090909090909092,0.011504767503741683
16074,864_n675,PLS,10.090909090909092,0.011504767503741683
5624,1279_n2462,CA-TF,10.090909090909092,0.011504767503741683
17340,2130_n2456,PLS,9.835758835758837,4.237531259619999e-08
17218,2008_n702,PLS,9.835758835758837,4.237531259619999e-08
13565,528_n1161,CA-H3K4me3,9.664627930682977,0.00020639776229249967
11406,542_n834,TF,9.59538784067086,1.5251658482644003e-09
15325,115_n2621,PLS,9.221993833504625,7.3191864345069304e-06
5280,935_n1504,CA-TF,9.146639511201629,0.0003784931200893655
16708,1498_n152,PLS,9.072653884964682,0.02117752939684125
5870,1525_n2802,CA-TF,9.072653884964682,0.02117752939684125
1841,1842_n945,pELS,8.793668648561788,5.447013785967797e-21
17087,1877_n842,PLS,8.62970498474059,0.0006904706659632367
12082,1218_n451,TF,8.521367521367521,2.4377458242571876e-05
15980,770_n726,PLS,8.113821138211382,0.0012524340705628485
13757,720_n2681,CA-H3K4me3,8.113821138211382,0.0012524340705628485
4923,578_n2022,CA-TF,8.056451612903226,0.03864115495182243
16737,1527_n29,PLS,8.056451612903226,0.03864115495182243
16529,1319_n2656,PLS,8.056451612903226,0.03864115495182243
16554,1344_n545,PLS,8.056451612903226,0.03864115495182243
15878,668_n2236,PLS,7.806282722513089,1.2495565242215786e-08
16864,1654_n864,PLS,7.4758009543285615,0.0001433689799586331
12715,1851_n400,TF,7.4437478230581675,4.060682380788622e-08
12515,1651_n337,TF,7.35439360929557,1.574738364700266e-14
12761,1897_n1078,TF,7.128702757916241,0.0002562087262244995
17312,2102_n1327,PLS,7.128702757916241,0.0002562087262244995
10982,118_n2344,TF,6.782312925170068,0.00045529027856499243
10962,98_n2336,TF,6.782312925170068,0.00045529027856499243
15565,355_n549,PLS,6.723204994797086,4.1248311813277546e-07
13373,336_n2778,CA-H3K4me3,6.436629289840299,0.0008041660743165808
16827,1617_n567,PLS,6.436629289840299,0.0008041660743165808
12898,2034_n1865,TF,6.408583186360964,2.0670721350725695e-09
15482,272_n23,PLS,6.122950819672131,0.00016319689563011432
11282,418_n2797,TF,6.091649694501018,0.0014110652668705614
11768,904_n1608,TF,6.060728744939271,0.012641030596819505
5204,859_n2688,CA-TF,6.060728744939271,0.012641030596819505
9600,909_n2580,dELS,5.857979991194911,6.937316583417648e-60
13008,2144_n1675,TF,5.747371990505256,0.002458343425915171
15577,367_n2032,PLS,5.601226993865031,0.0004929579407000357
15131,2094_n1970,CA-H3K4me3,5.550050556117291,0.022043359950116075
16928,1718_n1822,PLS,5.550050556117291,0.022043359950116075
16866,1656_n2141,PLS,5.550050556117291,0.022043359950116075
12827,1963_n532,TF,5.403794037940379,0.004249572228427446
11776,912_n84,TF,5.341164453524004,0.0008486173941202981
11360,496_n2723,TF,5.102564102564102,0.00029445281853872525
17298,2088_n1872,PLS,5.060913705583756,0.007283223744560448
17089,1879_n30,PLS,5.060913705583756,0.007283223744560448
12018,1154_n2444,TF,5.040404040404041,0.03801124749285139
16830,1620_n350,PLS,5.040404040404041,0.03801124749285139
13860,823_n2273,CA-H3K4me3,5.040404040404041,0.03801124749285139
5187,842_n2405,CA-TF,5.040404040404041,0.03801124749285139
5490,1145_n2485,CA-TF,5.040404040404041,0.03801124749285139
15531,321_n2732,PLS,4.992901508429458,2.1105172683736107e-05
15672,462_n1601,PLS,4.89344262295082,0.0004997425174670123
12256,1392_n43,TF,4.89344262295082,0.0004997425174670123
11113,249_n2822,TF,4.82262996941896,0.0024613261041366245
17270,2060_n1520,PLS,4.82262996941896,0.0024613261041366245
12072,1208_n2436,TF,4.82262996941896,0.0024613261041366245
13750,713_n179,CA-H3K4me3,4.82262996941896,0.0024613261041366245
11145,281_n294,TF,4.82262996941896,0.0024613261041366245
12420,1556_n616,TF,4.732057416267943,3.1162710101493564e-07
2996,824_n1200,CA-CTCF,4.718728870858688,0.012364948985412044
13977,940_n664,CA-H3K4me3,4.718728870858688,0.012364948985412044
1566,1567_n2136,pELS,4.6997885835095135,1.0799097587820981e-07
11372,508_n2651,TF,4.6847492323439095,0.0008424885704124716
12978,2114_n712,TF,4.6847492323439095,0.0008424885704124716
11835,971_n1248,TF,4.597122302158273,0.0002905475145016602
11022,158_n81,TF,4.597122302158273,0.0002905475145016602
11766,902_n1995,TF,4.564154786150713,0.004142111633363474
16180,970_n820,PLS,4.564154786150713,0.004142111633363474
