Gene,Num_nodes
ZNF713_C2H2_1,1
MBNL1,1
PAX1_MA0779.1,1
BRUNOL6,1
VENTX_homeodomain_2,1
ARNT+HIF1A_MA0259.1,1
RXRA+VDR_MA0074.1,1
ZKSC1_HUMAN.H11MO.0.B,1
MYBL1_MYB_3,1
Tp53.mouse_p53l_1,1
E2F1_HUMAN.H11MO.0.A,1
KHDRBS3,1
SOX10_HMG_3,1
RFX5_HUMAN.H11MO.0.A,1
MATR3,1
GRHL1_CP2_1,1
ZBTB6_HUMAN.H11MO.0.C,1
NFKB1_HUMAN.H11MO.1.B,1
ZN384_HUMAN.H11MO.0.C,1
G3BP2,1
Nr2e3_MA0164.1,1
HIC2_C2H2_1,1
NR1A4+RXRA_MA1146.1,1
BARX1_MOUSE.H11MO.0.C,1
KLF8_HUMAN.H11MO.0.C,1
ZN329_HUMAN.H11MO.0.C,1
SMCA1_HUMAN.H11MO.0.C,1
RBM8A,1
MZF1_MA0057.1,1
NFATC1_NFAT_3,1
EHF_ETS_1,1
SNRPA,1
EGR1_C2H2_1,1
MGA_TBX_2,1
MYBA_MOUSE.H11MO.0.C,1
Tp53.mouse_p53l_2,1
ZN549_HUMAN.H11MO.0.C,1
SART3,1
ZBTB49_C2H2_1,1
HNRNPA1L2,1
ZNF435_C2H2_1,1
EMX1_homeodomain_2,1
ENOX1,1
PRDM9_MOUSE.H11MO.0.C,1
NKX28_HUMAN.H11MO.0.C,1
FOXG1_forkhead_2,1
EIF4B,1
DMRT3_MA0610.1,1
ZNF354C_MA0130.1,1
HNF1A_HUMAN.H11MO.0.C,1
SAMD4A,1
YB-1,1
REL_HUMAN.H11MO.0.B,1
(HNRPDL)_(Tetraodon_nigroviridis)_(RBD_0.71),1
TARDBP,1
RBM6,1
ATOH1_HUMAN.H11MO.0.B,1
RBM5,1
SRSF9,1
SOX10_HMG_5,1
ZN547_HUMAN.H11MO.0.C,1
Spz1_MA0111.1,1
RUNX2_RUNX_2,1
ARI5B_HUMAN.H11MO.0.C,1
ZNF282_C2H2_1,1
ZIC1_C2H2_1,1
NFKB1_MA0105.4,1
SRSF2,1
ATF1_HUMAN.H11MO.0.B,1
ROD1,1
RFX2_RFX_2,1
NRF1_HUMAN.H11MO.0.A,1
FMR1,1
ENSG00000215042,1
OTX1_homeodomain_1,1
CUX2_MOUSE.H11MO.0.C,1
PCBP1,1
HSF1_HSF_1,1
